Section,Key,Value
Summary,sport,boxing
Summary,overall_score,76.2
Summary,total_frames,335
Summary,errors,No pose detected; Right knee alignment could improve; Left knee alignment could improve
Summary,recommendations,Wall sit

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
127,81.8,True,True,Left knee alignment could improve,left_knee:68; right_knee:71; shoulders:98; hips:95; left_elbow:74; right_elbow:84
128,74.3,True,True,Left knee alignment could improve,left_knee:11; right_knee:98; shoulders:99; hips:96; left_elbow:67; right_elbow:74
129,67.2,False,False,Left knee alignment could improve,left_knee:0; right_knee:88; shoulders:94; hips:96; left_elbow:61; right_elbow:63
130,64.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:67; right_knee:0; shoulders:95; hips:98; left_elbow:64; right_elbow:60
131,75.0,True,True,Left knee alignment could improve,left_knee:0; right_knee:100; shoulders:98; hips:99; left_elbow:87; right_elbow:66
132,65.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:53; shoulders:99; hips:99; left_elbow:76; right_elbow:63
133,68.9,False,False,Left knee alignment could improve,left_knee:5; right_knee:79; shoulders:94; hips:99; left_elbow:73; right_elbow:64
134,74.3,True,True,Left knee alignment could improve,left_knee:12; right_knee:95; shoulders:95; hips:100; left_elbow:77; right_elbow:67
135,65.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:35; shoulders:94; hips:99; left_elbow:95; right_elbow:73
136,59.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:95; hips:98; left_elbow:93; right_elbow:72
137,57.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:95; hips:97; left_elbow:90; right_elbow:61
138,57.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:96; hips:98; left_elbow:86; right_elbow:67
139,61.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:30; right_knee:0; shoulders:95; hips:99; left_elbow:76; right_elbow:71
140,65.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:45; right_knee:0; shoulders:90; hips:97; left_elbow:93; right_elbow:69
141,75.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:64; right_knee:50; shoulders:97; hips:100; left_elbow:67; right_elbow:73
