Section,Key,Value
Summary,sport,boxing
Summary,overall_score,70.2
Summary,total_frames,360
Summary,errors,Hips not level; Shoulders not level; Left knee alignment could improve; Right knee alignment could improve; No pose detected
Summary,recommendations,Hip bridge; Band pull-apart; Wall sit; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
95,67.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:40; shoulders:96; hips:94; left_elbow:82; right_elbow:70
96,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:39; shoulders:95; hips:94; left_elbow:82; right_elbow:70
97,69.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:52; shoulders:95; hips:94; left_elbow:82; right_elbow:70
98,68.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:45; shoulders:96; hips:95; left_elbow:81; right_elbow:70
99,69.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:49; shoulders:96; hips:95; left_elbow:81; right_elbow:70
100,68.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:43; shoulders:96; hips:95; left_elbow:81; right_elbow:71
101,67.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:40; shoulders:95; hips:95; left_elbow:81; right_elbow:71
102,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:39; shoulders:95; hips:94; left_elbow:82; right_elbow:71
103,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:38; shoulders:95; hips:95; left_elbow:81; right_elbow:69
104,68.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:47; shoulders:95; hips:95; left_elbow:81; right_elbow:70
105,69.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:49; shoulders:95; hips:94; left_elbow:81; right_elbow:70
106,67.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:42; shoulders:95; hips:94; left_elbow:81; right_elbow:70
107,68.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:48; shoulders:95; hips:95; left_elbow:81; right_elbow:70
108,69.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:51; shoulders:95; hips:94; left_elbow:81; right_elbow:70
109,69.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:53; shoulders:95; hips:94; left_elbow:81; right_elbow:69
110,67.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:42; shoulders:95; hips:94; left_elbow:81; right_elbow:70
111,68.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:45; shoulders:96; hips:95; left_elbow:82; right_elbow:70
112,67.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:40; shoulders:96; hips:94; left_elbow:82; right_elbow:70
113,68.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:43; shoulders:96; hips:95; left_elbow:82; right_elbow:70
114,67.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:40; shoulders:96; hips:95; left_elbow:82; right_elbow:71
115,68.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:41; shoulders:96; hips:94; left_elbow:82; right_elbow:72
